liked,duration_ms,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
True,257333,0.833,0.515,11,-5.0,0,0.347,0.00156,0.116,0.4,97.035
True,210685,0.601,0.923,10,-3.958,1,0.0321,0.0,0.158,0.572,94.059
False,235073,0.77,0.816,1,-3.848,0,0.117,0.0,0.097,0.498,93.047
False,200173,0.536,0.645,5,-5.535,0,0.0161,0.0,0.0759,0.62,96.108
True,169303,0.585,0.782,1,-4.101,0,0.269,0.0,0.156,0.521,121.908
True,230973,0.557,0.511,8,-6.788,1,0.254,0.0,0.099,0.602,156.042
True,211598,0.615,0.803,5,-6.236,0,0.0358,1.98e-06,0.113,0.65,92.979
True,188187,0.287,0.759,1,-4.666,1,0.0734,0.0,0.11,0.481,195.708
True,207953,0.746,0.918,0,-4.5,1,0.0565,0.0,0.127,0.642,103.027
True,155468,0.755,0.565,0,-9.76,0,0.0651,3.46e-06,0.135,0.432,101.063
True,186482,0.699,0.855,11,-2.728,1,0.0721,0.0,0.0671,0.726,124.947
True,176272,0.68,0.629,6,-5.673,1,0.108,0.0,0.0829,0.138,103.883
True,216000,0.773,0.255,2,-10.388,1,0.536,0.902,0.0595,0.18,91.981
True,245467,0.491,0.885,3,-4.121,1,0.00219,0.0,0.0741,0.641,166.992
True,189387,0.59,0.807,0,-4.979,0,0.0647,0.0,0.256,0.801,175.987
True,235955,0.813,0.59,4,-6.542,0,0.346,0.0,0.0335,0.716,91.985
True,208600,0.665,0.779,7,-7.085,1,0.246,0.0,0.364,0.75,150.952
False,237456,0.812,0.339,6,-10.73,0,0.836,7.43e-05,0.0812,0.241,127.961
True,222979,0.802,0.566,11,-9.816,0,0.539,4.09e-06,0.134,0.153,140.099
True,220680,0.665,0.75,1,-3.769,0,0.0239,0.0,0.111,0.365,89.996
True,202333,0.734,0.637,4,-5.677,0,0.0462,2.29e-05,0.0602,0.648,169.977
True,255373,0.458,0.795,0,-3.265,1,0.00316,0.000202,0.0756,0.513,123.229
True,223507,0.716,0.821,11,-4.497,1,0.174,0.0,0.0731,0.723,92.002
True,149293,0.597,0.721,9,-6.422,1,0.0362,0.0,0.0832,0.437,132.054
False,192853,0.676,0.792,5,-4.594,0,0.0149,0.0,0.414,0.57,112.004
True,218040,0.567,0.713,0,-6.097,1,0.222,0.0,0.0716,0.538,78.221
False,179638,0.785,0.827,1,-6.902,1,0.228,5.35e-05,0.105,0.342,121.989
True,168301,0.43,0.702,8,-4.67,1,0.122,0.0,0.149,0.789,80.302
True,291782,0.85,0.7,7,-6.49,1,0.0616,1.8e-06,0.244,0.722,101.875
True,201333,0.672,0.876,7,-7.425,1,0.0483,0.000297,0.206,0.887,94.998
False,176386,0.711,0.716,8,-6.282,0,0.287,0.878,0.171,0.75,165.952
True,252787,0.611,0.855,0,-4.338,1,0.287,1.21e-06,0.068,0.633,84.883
True,196427,0.582,0.885,11,-5.45,1,0.0306,0.0,0.378,0.593,112.027
True,219387,0.616,0.854,4,-2.976,1,0.00524,0.0,0.119,0.453,149.917
True,167663,0.542,0.875,1,-3.068,1,0.0795,1.07e-05,0.061,0.244,154.945
False,247960,0.629,0.824,9,-6.53,1,0.155,0.000628,0.0651,0.852,128.01
True,146998,0.692,0.758,5,-4.826,1,0.14,0.0314,0.0928,0.241,84.42
True,238560,0.536,0.55,10,-6.733,0,0.0537,0.0,0.134,0.234,144.018
True,228112,0.665,0.799,6,-2.868,0,0.18,0.0,0.125,0.5,101.976
True,203992,0.767,0.631,1,-6.762,1,0.0997,0.0,0.119,0.541,100.968
True,155587,0.574,0.569,11,-9.289,0,0.593,0.000164,0.108,0.0604,110.994
False,231097,0.504,0.261,2,-12.58,0,0.768,3.54e-05,0.108,0.194,154.775
False,181284,0.726,0.653,1,-4.669,0,0.00186,0.00151,0.302,0.349,115.98
True,317902,0.722,0.731,11,-7.461,0,0.445,6.19e-06,0.15,0.539,114.997
True,177118,0.781,0.469,1,-5.107,0,0.223,0.0,0.19,0.412,98.013
False,160096,0.732,0.746,3,-6.229,0,0.123,0.0,0.097,0.927,159.881
False,164587,0.732,0.594,11,-5.911,0,0.00805,0.0301,0.0802,0.676,107.996
True,195053,0.629,0.464,4,-8.72,1,0.75,0.0,0.0853,0.523,156.051
True,194787,0.767,0.862,11,-3.119,1,0.0249,4.5e-06,0.0929,0.741,90.035
False,191067,0.827,0.744,6,-6.203,0,0.0417,0.0,0.196,0.894,118.074
False,229283,0.627,0.715,1,-5.019,1,0.127,0.0,0.0768,0.481,115.005
True,204027,0.379,0.647,5,-7.72,0,0.214,0.0,0.125,0.342,217.648
True,211253,0.664,0.845,4,-6.115,0,0.181,0.0,0.267,0.357,96.005
True,215867,0.641,0.758,4,-7.788,0,0.0581,0.00222,0.0348,0.782,115.335
True,245333,0.504,0.941,9,-5.268,0,0.13,0.0,0.188,0.443,159.892
True,175204,0.736,0.538,7,-5.263,0,0.0631,0.0,0.121,0.366,110.043
False,174255,0.592,0.891,10,-3.144,1,0.0267,0.0,0.352,0.674,99.983
True,239988,0.742,0.904,6,-0.626,1,0.443,0.0,0.203,0.646,91.119
True,181982,0.758,0.597,0,-5.564,1,0.285,0.0,0.155,0.679,87.749
True,179930,0.693,0.604,11,-5.279,1,0.0668,0.0,0.114,0.651,75.014
True,192595,0.768,0.796,7,-4.89,0,0.0175,1.22e-06,0.0736,0.564,104.99
False,179400,0.748,0.732,5,-6.571,1,0.243,0.000969,0.0686,0.542,114.994
True,189213,0.775,0.796,1,-3.745,1,0.0045,0.0,0.243,0.649,107.993
True,276000,0.855,0.693,8,-5.662,0,0.0165,0.0794,0.118,0.687,119.004
True,199387,0.681,0.397,0,-10.271,1,0.624,0.0,0.113,0.251,70.129
True,338853,0.375,0.862,11,-3.363,0,0.071,0.0,0.211,0.478,159.841
False,223933,0.856,0.462,10,-7.478,1,0.273,0.0,0.11,0.714,108.012
True,217674,0.519,0.775,9,-4.362,0,0.431,0.0,0.107,0.54,172.307
True,207675,0.694,0.683,7,-5.173,1,0.016,0.0,0.0901,0.384,90.142
True,121199,0.691,0.0583,1,-13.265,0,0.665,0.806,0.0886,0.42,80.989
False,204880,0.66,0.395,7,-5.242,1,0.873,0.0,0.112,0.678,81.997
True,230907,0.887,0.529,10,-6.414,0,0.0893,0.0,0.248,0.79,80.002
True,323267,0.428,0.833,10,-4.491,0,0.566,0.0,0.0992,0.399,150.712
True,261133,0.875,0.531,2,-6.046,1,0.221,0.0,0.0498,0.22,103.965
True,197293,0.612,0.57,11,-6.642,0,0.279,0.0,0.0963,0.335,77.004
True,173299,0.54,0.759,9,-4.874,0,0.101,0.0,0.125,0.272,159.228
